0	2020-12-30 13:17:00	Mojito	5.5
1	2020-12-27 11:06:15	Sidecar	11.0
2	2020-12-25 17:40:36	Snowball	11.0
3	2020-12-28 08:55:02	Limeade	3.5
4	2020-12-30 20:10:03	Limeade	3.5
5	2020-12-30 11:03:51	Vesuvio	3.0
6	2020-12-30 21:33:51	Irish Coffee	7.5
7	2020-12-30 05:04:48	Irish Coffee	7.5
8	2020-12-28 09:33:06	Penicillin	5.0
9	2020-12-28 11:41:10	Bijou	4.0
10	2020-12-31 08:01:43	After sex	7.5
11	2020-12-26 12:22:23	Long Island Iced Tea	3.0
12	2020-12-30 02:33:09	Raspberry Cooler	3.5
13	2020-12-28 06:25:46	Limona Corona	4.2
14	2020-12-31 19:46:02	White Lady	6.5
15	2020-12-29 16:14:06	Orgasm	5.15
16	2020-12-26 01:12:43	Limeade	3.5
17	2020-12-30 11:52:24	Snowball	11.0
18	2020-12-26 07:26:20	Munich Mule	12.0
19	2020-12-30 22:24:56	Jelly Bean	3.0
20	2020-12-27 11:07:20	Orangeade	4.99
21	2020-12-28 23:37:38	Campari Beer	7.5
22	2020-12-28 04:32:55	Grizzly Bear	12.0
23	2020-12-28 16:31:28	Russian Spring Punch	7.5
24	2020-12-26 00:51:09	Pure Passion	2.99
25	2020-12-27 20:34:36	Dry Martini	8.0
26	2020-12-26 22:49:10	Victor	4.2
27	2020-12-28 22:08:25	Bellini	2.99
28	2020-12-26 05:39:35	Winter Rita	5.5
29	2020-12-27 05:38:03	Orangeade	4.99
30	2020-12-29 17:39:05	Creme de Menthe	3.5
31	2020-12-30 08:13:07	Shot-gun	7.5
32	2020-12-25 17:53:12	Kiwi Papaya Smoothie	5.15
33	2020-12-28 20:00:43	Boston Sour	5.0
34	2020-12-31 01:46:53	Royal Gin Fizz	7.5
35	2020-12-26 01:04:54	Victory Collins	7.5
36	2020-12-31 23:21:07	Hunter's Moon	3.0
37	2020-12-26 18:28:09	Bob Marley	4.0
38	2020-12-27 01:16:12	Rusty Nail	4.0
39	2020-12-28 19:50:57	Cream Soda	5.15
40	2020-12-26 06:58:05	Bellini	2.99
41	2020-12-25 18:50:59	Cream Soda	5.15
42	2020-12-31 04:00:13	Dry Martini	8.0
43	2020-12-29 18:42:49	Iced Coffee Fillip	5.0
44	2020-12-27 08:57:17	Holloween Punch	4.2
45	2020-12-30 05:59:23	Kool-Aid Slammer	3.0
46	2020-12-28 22:05:03	Yoghurt Cooler	3.5
47	2020-12-26 23:47:34	Limona Corona	4.2
48	2020-12-28 15:20:28	Broadside	5.5
49	2020-12-27 23:52:24	Grim Reaper	4.0
50	2020-12-26 01:26:05	Bijou	4.0
51	2020-12-28 15:07:57	Limeade	3.5
52	2020-12-31 18:25:17	Corpse Reviver	5.15
53	2020-12-26 18:19:00	Dry Martini	8.0
54	2020-12-29 06:51:52	B-53	5.15
55	2020-12-27 20:13:57	Whitecap Margarita	4.99
56	2020-12-29 08:54:28	Queen Charlotte	8.0
57	2020-12-25 22:21:11	Limeade	3.5
58	2020-12-29 07:58:25	Limeade	3.5
59	2020-12-31 11:24:14	Radioactive Long Island Iced Tea	7.5
60	2020-12-28 04:20:26	Snowball	11.0
61	2020-12-26 07:14:40	Long Island Iced Tea	3.0
62	2020-12-30 17:14:22	Bellini	2.99
63	2020-12-31 04:40:51	Victor	4.2
64	2020-12-30 03:52:30	Zimadori Zinger	12.0
65	2020-12-30 10:08:54	Snowball	11.0
66	2020-12-31 15:05:54	Lassi - Sweet	8.0
67	2020-12-28 20:28:40	Kill the cold Smoothie	11.0
68	2020-12-27 15:09:54	Tom Collins	5.5
69	2020-12-27 03:06:21	Jack's Vanilla Coke	6.5
70	2020-12-30 20:20:05	Vodka And Tonic	11.0
71	2020-12-26 01:07:43	Broadside	5.5
72	2020-12-27 16:13:00	Sidecar	11.0
73	2020-12-28 09:48:47	Van Vleet	4.2
74	2020-12-28 11:22:56	Bellini	2.99
75	2020-12-25 18:54:18	Kurant Tea	3.0
76	2020-12-29 09:33:02	Bellini	2.99
77	2020-12-28 12:58:52	Godfather	6.5
78	2020-12-26 17:53:43	The Laverstoke	7.5
79	2020-12-31 22:44:14	Valencia Cocktail	5.5
80	2020-12-29 14:35:58	Bellini	2.99
81	2020-12-31 19:22:58	Victory Collins	7.5
82	2020-12-31 11:10:04	Gin Fizz	2.99
83	2020-12-27 01:05:11	Horse's Neck	7.5
84	2020-12-30 19:10:43	Cream Soda	5.15
85	2020-12-28 01:56:43	Gimlet	4.2
86	2020-12-30 20:08:17	Snowball	11.0
87	2020-12-27 17:12:08	Limeade	3.5
88	2020-12-31 05:41:32	Snowball	11.0
89	2020-12-30 16:13:58	Death in the Afternoon	4.0
90	2020-12-31 08:01:26	Rum Punch	3.5
91	2020-12-30 19:00:12	Snowball	11.0
92	2020-12-27 04:21:44	Affair	8.0
93	2020-12-31 18:49:44	Tom Collins	5.5
94	2020-12-26 05:51:45	Vesuvio	3.0
95	2020-12-30 21:41:31	Vermouth Cassis	12.0
96	2020-12-31 07:53:44	Rum Cooler	4.99
97	2020-12-30 13:22:59	Chocolate Milk	5.15
98	2020-12-31 12:19:49	Zimadori Zinger	12.0
99	2020-12-31 04:13:12	Frosé	2.99
100	2020-12-27 18:59:40	Chocolate Milk	5.15
101	2020-12-29 19:15:12	Quick-sand	4.0
102	2020-12-31 14:34:31	Bijou	4.0
103	2020-12-27 05:32:59	Halloween Punch	8.0
104	2020-12-26 08:09:48	Mai Tai	11.0
105	2020-12-31 03:10:56	Sea breeze	8.0
106	2020-12-26 12:44:00	Boston Sour	5.0
107	2020-12-26 07:42:49	Bellini	2.99
108	2020-12-31 12:52:19	Death in the Afternoon	4.0
109	2020-12-25 19:26:51	Shot-gun	7.5
110	2020-12-31 11:33:04	Van Vleet	4.2
111	2020-12-28 08:54:09	Limeade	3.5
112	2020-12-30 17:13:18	Figgy Thyme	3.0
113	2020-12-28 12:15:04	Affair	8.0
114	2020-12-28 14:37:38	Limona Corona	4.2
115	2020-12-29 07:34:30	Danbooka	4.99
116	2020-12-25 23:57:33	Grizzly Bear	12.0
117	2020-12-30 04:08:15	Limeade	3.5
118	2020-12-27 04:54:10	Snowball	11.0
119	2020-12-31 13:34:55	Creme de Menthe	3.5
120	2020-12-29 10:41:12	Snowball	11.0
121	2020-12-28 14:01:33	Monkey Gland	11.0
122	2020-12-25 20:09:47	Frisco Sour	4.0
123	2020-12-26 02:43:35	Munich Mule	12.0
124	2020-12-31 02:59:43	Limeade	3.5
125	2020-12-28 14:38:47	Waikiki Beachcomber	5.5
126	2020-12-30 21:25:25	Grim Reaper	4.0
127	2020-12-29 16:05:25	Mocha-Berry	8.0
128	2020-12-26 19:14:01	Snowball	11.0
129	2020-12-27 06:45:55	Yoghurt Cooler	3.5
130	2020-12-27 20:17:27	Limeade	3.5
131	2020-12-27 02:36:23	Long Island Iced Tea	3.0
132	2020-12-31 17:20:49	Bubble Gum	3.0
133	2020-12-29 01:44:24	Jelly Bean	3.0
134	2020-12-26 05:45:06	Limeade	3.5
135	2020-12-31 18:24:56	Dry Martini	8.0
136	2020-12-28 01:09:13	Afternoon	3.0
137	2020-12-28 10:28:33	Kurant Tea	3.0
138	2020-12-25 22:06:54	Honey Bee	3.0
139	2020-12-27 00:46:07	Limeade	3.5
140	2020-12-30 02:14:48	Veteran	8.0
141	2020-12-27 17:40:01	Lone Tree Cooler	5.5
142	2020-12-28 12:24:47	Yoghurt Cooler	3.5
143	2020-12-27 18:35:10	Death in the Afternoon	4.0
144	2020-12-27 13:50:30	Winter Rita	5.5
145	2020-12-30 15:15:45	Yoghurt Cooler	3.5
146	2020-12-27 10:15:58	Raspberry Cooler	3.5
147	2020-12-30 20:15:53	Snowball	11.0
148	2020-12-25 17:37:37	Creme de Menthe	3.5
149	2020-12-28 19:40:10	Van Vleet	4.2
150	2020-12-31 07:16:23	Lemon Drop	2.99
151	2020-12-27 00:18:40	Espresso Martini	11.0
152	2020-12-29 04:17:11	Queen Charlotte	8.0
153	2020-12-30 10:17:21	After sex	7.5
154	2020-12-27 02:06:10	A. J.	11.0
155	2020-12-29 14:54:37	Victor	4.2
156	2020-12-26 06:00:47	Horse's Neck	7.5
157	2020-12-27 11:42:39	Victory Collins	7.5
158	2020-12-31 22:43:38	Lone Tree Cooler	5.5
159	2020-12-28 12:38:10	Victor	4.2
160	2020-12-26 16:31:04	Cuba Libre	4.2
161	2020-12-26 07:45:39	Tequila Sour	5.15
162	2020-12-30 21:39:39	Limeade	3.5
163	2020-12-30 14:58:29	Gin Rickey	4.0
164	2020-12-26 23:33:24	Orangeade	4.99
165	2020-12-28 18:55:54	Fahrenheit 5000	2.99
166	2020-12-30 14:58:26	Limeade	3.5
167	2020-12-26 17:52:36	Gin Rickey	4.0
168	2020-12-28 16:18:48	Mai Tai	11.0
169	2020-12-29 23:04:11	Snowball	11.0
170	2020-12-29 13:35:44	Chocolate Milk	5.15
171	2020-12-27 20:20:25	H.D.	7.5
172	2020-12-28 21:33:51	Coffee Liqueur	5.5
173	2020-12-26 17:27:32	Limeade	3.5
174	2020-12-28 06:53:22	Casino	6.5
175	2020-12-30 12:47:50	Figgy Thyme	3.0
176	2020-12-29 05:12:22	Grasshopper	4.99
177	2020-12-27 15:06:05	Flying Dutchman	6.5
178	2020-12-30 15:22:18	Cuba Libre	4.2
179	2020-12-25 23:58:40	Egg Nog - Healthy	11.0
180	2020-12-25 16:20:11	Dry Martini	8.0
181	2020-12-30 10:52:37	Kurant Tea	3.0
182	2020-12-30 12:25:42	Sidecar	11.0
183	2020-12-30 23:29:17	Pysch Vitamin Light	6.5
184	2020-12-31 02:54:31	Limeade	3.5
185	2020-12-30 10:13:29	Owen's Grandmother's Revenge	8.0
186	2020-12-27 15:28:28	Oatmeal Cookie	4.99
187	2020-12-31 20:59:50	Karsk	11.0
188	2020-12-26 00:13:28	Dry Rob Roy	5.5
189	2020-12-30 05:41:04	Orangeade	4.99
190	2020-12-26 23:00:07	Orangeade	4.99
191	2020-12-27 17:29:11	Snowball	11.0
192	2020-12-28 17:34:47	H.D.	7.5
193	2020-12-26 21:11:23	Lemouroudji	5.15
194	2020-12-26 21:31:56	Yellow Bird	8.0
195	2020-12-27 20:25:00	Kill the cold Smoothie	11.0
196	2020-12-28 09:26:39	Bellini	2.99
197	2020-12-29 07:19:10	Lassi Raita	6.5
198	2020-12-30 14:36:52	Orangeade	4.99
199	2020-12-27 10:36:22	Mother's Milk	5.0
200	2020-12-30 23:52:14	Veteran	8.0
201	2020-12-27 18:36:21	Queen Charlotte	8.0
202	2020-12-29 10:40:23	Hemingway Special	3.5
203	2020-12-27 22:12:07	Creme de Menthe	3.5
204	2020-12-31 07:46:50	Hawaiian Cocktail	6.5
205	2020-12-31 17:54:45	Casino	6.5
206	2020-12-26 19:39:33	Lemouroudji	5.15
207	2020-12-31 08:07:17	Monkey Gland	11.0
208	2020-12-30 20:18:21	Bob Marley	4.0
209	2020-12-31 22:35:17	The Philosopher	5.15
210	2020-12-29 10:49:20	Monkey Gland	11.0
211	2020-12-30 02:41:09	Afternoon	3.0
212	2020-12-27 04:16:19	Jamaica Kiss	5.0
213	2020-12-28 06:31:37	Boston Sour	5.0
214	2020-12-26 03:40:41	Hemingway Special	3.5
215	2020-12-31 05:33:58	Bob Marley	4.0
216	2020-12-27 01:19:27	Clover Club	4.99
217	2020-12-28 06:15:54	Midnight Mint	7.5
218	2020-12-27 09:55:21	Kill the cold Smoothie	11.0
219	2020-12-31 12:48:12	Dark Caipirinha	2.99
220	2020-12-30 22:27:00	Orangeade	4.99
221	2020-12-29 02:22:59	Pink Panty Pulldowns	2.99
222	2020-12-31 00:40:07	Bijou	4.0
223	2020-12-26 10:58:52	Orangeade	4.99
224	2020-12-25 20:08:59	Winter Rita	5.5
225	2020-12-31 20:20:21	Cuba Libre	4.2
226	2020-12-30 01:29:03	Radioactive Long Island Iced Tea	7.5
227	2020-12-28 23:36:51	Figgy Thyme	3.0
